id;beschreibung;bild;bildrechte;ects;module_abkürzung;module_name;module_typ;oberkategorie;prüfungsart;regelstudienzeitsieben;regelstudienzeitzwölf;verfügbarkeit;vertiefung
26;\N;tonstudiotechnik.jpg;Michael M. Schuff;5;TST;Tonstudiottechnik;Vertiefungsmodule;Produktionstechnik audiovisueller Medien;mündliche Prüfung;4;\N;Sommersemester;Produktionstechnik audiovisueller Medien
27;\N;platzhalter1.png;Michael M. Schuff;5;BWR;Betriebswirtschaft und Recht;Pflichtmodule;Recht;Abgaben;5;9;Wintersemester;\N
28;\N;mustererkennung.jpg;\N;5;BV2;Mustererkennung;Vertiefungsmodule;Bildverarbeitung;mündliche Prüfung;5;\N;Wintersemester;Bildverarbeitung
29;\N;webengineering2.jpg;Michael M. Schuff;5;WEB2;Webengineering 2;Vertiefungsmodule;Webengineering;schriftliche Klausur;5;\N;Wintersemester;Webengineering
30;\N;computeranimation.jpg;Michael M. Schuff;5;CA;Computeranimation;Vertiefungsmodule;Interaktive Computergrafik;mündliche Prüfung;5;\N;Wintersemester;Interaktive Computergrafik
31;\N;medienkonzeption.jpg;Michael M. Schuff;5;GM2;Medienkonzeption & Storytelling;Vertiefungsmodule;Gestaltung von Medien;Abgabe;5;\N;Wintersemester;Gestaltung von Medien
32;\N;kameratechnik.jpg;Michael M. Schuff;5;KAT2;Kameratechnik;Vertiefungsmodule;Kameratechnik;schriftliche Klausur;5;\N;Wintersemester;Kameratechnik
33;\N;medienuebertragung.jpg;Michael M. Schuff;5;MUS;Medienübertragung und -speicherung;Vertiefungsmodule;Mediendistribution und -wiedergabe;schriftliche Klausur;5;\N;Wintersemester;Mediendistribution und -wiedergabe
34;\N;videostudiotechnik.jpg;Michael M. Schuff;5;VST;Videostudiotechnik;Vertiefungsmodule;Produktionstechnik audiovisueller Medien;schriftliche Klausur;5;\N;Wintersemester;Produktionstechnik audiovisueller Medien
35;\N;projekt_mustererkennung.jpg;Michael M. Schuff;6;BV3;Projekt Bildverarbeitung / Mustererkennung;Vertiefungsmodule;Bildverarbeitung;Abgabe;6;\N;Sommersemester;Bildverarbeitung
36;\N;projekt_webengineering.jpg;Michael M. Schuff;6;WEB3;Projekt Webengineering;Vertiefungsmodule;Webengineering;Abgabe;6;\N;Sommersemester;Webengineering
37;\N;projekt_interaktive_systeme.jpg;Michael M. Schuff;6;IA;Projekt Interaktive Systeme;Vertiefungsmodule;Interaktive Computergrafik;Abgabe;6;\N;Sommersemester;Interaktive Computergrafik
38;\N;projekt_mediendesign.jpg;Michael M. Schuff;6;GM3;Projekt Mediendesign;Vertiefungsmodule;Gestaltung von Medien;Abgabe;6;\N;Sommersemester;Gestaltung von Medien
39;\N;projekt_kameratechnik.jpg;Michael M. Schuff;6;AKAT;Projekt Anwendungen der Kameratechnik;Vertiefungsmodule;Kameratechnik;Abgabe;6;\N;Sommersemester;Kameratechnik
40;\N;projekt_produktionstechnik.jpg;Michael M. Schuff;6;PMPT;Projekt Produktionstechnik audiovisueller Medien;Vertiefungsmodule;Produktionstechnik audiovisueller Medien;Abgabe;6;\N;Sommersemester;Produktionstechnik audiovisueller Medien
41;\N;projekt_mediendistribution.jpg;Michael M. Schuff;6;PMW;Projekt Mediendistribution und-wiedergabe;Vertiefungsmodule;Mediendistribution und -wiedergabe;Abgabe;6;\N;Sommersemester;Mediendistribution und -wiedergabe
42;\N;platzhalter1.png;\N;15;PMP;Praxis- und Mobilitätsphase;Pflichtmodule;Bachelor;Abgabe schriftlicher Bericht;7;11;Wintersemester;\N
43;\N;platzhalter2.png;\N;12;BAA;Bachelorarbeit;Pflichtmodule;Bachelor;Abgabe Bachelorarbeit;7;12;Wintersemester;\N
44;\N;platzhalter3.png;\N;3;KOLL;Kolloquium zur Bachelorarbeit;Pflichtmodule;Bachelor;mündlicher Ergebnisbericht;7;12;Wintersemester;\N
45;\N;platzhalter1.png;\N;5;POP;Postproduktion;Wahlmodule;Wahlfach Sommersemester;Abgabe;\N;\N;Sommersemester;\N
46;\N;platzhalter2.png;\N;5;FPO;Film-und Postproduktion;Wahlmodule;Wahlfach Wintersemester;Abgabe;\N;\N;Wintersemester;\N
47;\N;platzhalter3.png;\N;5;S3D;Stereoskopie;Wahlmodule;Wahlfach Sommersemester;Hausarbeit;\N;\N;Sommersemester;\N
48;\N;platzhalter1.png;\N;5;CGI;CGI-Workshop;Wahlmodule;Wahlfach Wintersemester;Abgaben;\N;\N;Wintersemester;\N
49;\N;platzhalter2.png;\N;5;TCG;Themen der Computergrafik;Wahlmodule;Wahlfach Wintersemester;tba;\N;\N;Wintersemester;\N
