id;beschreibung;bild;ects;module_abkürzung;module_name;module_typ;oberkategorie;prüfungsart;regelstudienzeitsieben;regelstudienzeitzwölf;verfügbarkeit;vertiefung;bildrechte
13;"Computernetze und insbesondere das Internet sind heute die Grundlage für alle technischen Kommunikationssysteme und bilden die Kommunikationsplattform für verteilte Systeme. Die Medienindustrie befindet sich im Wandel von klassischen Produktions- und Distributionstechnologien hin zu Internet-vernetzen Ökosystemen. Entsprechende Kompetenzen und Wissen über die zugehörigen Grundlagen sind essentiell für die Erstellung, Bewertung und den Betrieb moderner Medienproduktionssysteme auf Basis verteilter Systeme und Services. Das Modul vermittelt Wissen zu Protokollen, Dienste und Standards zur digitalen Kommunikation sowie Kompetenzen zur Planung, Umsetzung und Evaluation von Computernetzen mit einem besonderen Fokus auf vernetzte/verteilte Mediensysteme (z.B. HTTP Live Streaming). In diesem Kontext werden Aufgaben und Mechanismen der Protokolle und Dienste, Wissen zur Architektur und zum Aufbau von Computernetzen sowie ein tieferes Verständnis der zugrundeliegenden Konzepte und Techniken vermittelt. Folgende Kenntnisse und Kompetenzen werden im Detail vermittelt:

Grundlegende Konzepte und Technologien von Computernetzen
Protokolle und Dienste benennen und anhand von Referenzmodellen zuordnen
Aufgabenstellungen analysieren und strukturieren, einschlägige Standards zuordnen und auf Netzdesigns und Anwendungsklassen übertragen
Protokoll-Mechanismen erläutern, Aufgaben und technische Parameter darlegen und strukturieren
Netze und Systeme unter Einsatz geeigneter Tools analysieren und Ergebnisse nachvollziehbar darstellen
Netze und Systemkonfiguration planen und einrichten
Leistungsfähigkeit von Computernetzen abschätzen und analysieren
Information aus englischen Originalquellen und Standards ableiten
Kenntnisse und Basisfertigkeiten werden in Vorlesung und Übung vermittelt. Die grundlegenden Begriffe, Architekturen, Kommunikationsformen, Komponenten und Aufgaben von Computernetzen werden eingeführt. Kommunikationsaufgaben werden anhand von Protokollen und Dienste der sieben OSI-Schichten behandelt. Darauf aufbauend werden Netzarchitekturen und deren Planungskonzepte erarbeitet und Techniken der verschiedenen OSI-Schichten eingeführt. Der Schwerpunkt liegt auf Methoden und Protokolle des Internets und speziell der TCP/IP-Protokollfamilie. Die Studierenden werden in die Lage versetzt, systematisch kleine bis mittlere, IP-basierte Netze eigenständig zu planen, implementieren, evaluieren und zu betreiben.

Darauf aufbauend werden im Praktikum Kompetenzen und Fertigkeiten ausgebaut und inhaltliche Themen vertieft. Im Praktikum arbeiten die Studierenden in Kleingruppen und präsentieren und diskutieren sowie begründen ihre Lösungen in Fachgesprächen.";info3.jpg;7;INF3;Informatik 3;Pflichtfach;Informatik;schriftliche Klauur;3;7;Wintersemester;\N;Michael M. Schuff
14;"Die Stidieenden werden befähigt den grundlegenden Aufbau und die Funktionsweise einer Kamera darzustellen und zu erklären und die Spezifitäten verschiedener Kameratypen gegenüberzustellen.

Die Funktionsweisen und Kenngrößen verschiedener Bildsensortechnologien werde vermittelt. Studierende erhalten Datenblätter zu verschiedenen Bildsensortechnologien und analysieren und vergleichen die Kenngrößen.

Die Studierenden lernen die grundlegenden Funktionen der Bildverarbeitungskette innerhalb einer digitalen Kamera zu benennen und erklären und Rohdaten messtechnisch zu analysieren.";photo3.jpg;6;PHO3;Phototechnik 3;Pflichtfach;Phototechnik;schriftliche Klausur;3;5;Wintersemester;\N;Michael M. Schuff
15;"Durch das Modul lernen die Studierenden grundlegende Zusämmenhänge der Audio- und Videosignalverabeitung kennen und werden in die Lage versetzt, diese in einfachen Modellen und Kennziffern zu beschreiben.

Durch die Erläuterung der physikalischen Grundlagen und der Bezug auf die medientschnischen Audio- und Videokomponenten erlernen die Studierenden wesentliche Aspekte, die sie befähigen solche Systeme zu verstehen, zu analysieren und in der Anwendung zu optimieren. Darüber hinaus lernen die Studierenden, die technischen Kennwerte von medientechnischen Systeme kennen und einzuordnen.

Medientechnische Systeme und Medienprodukte zielen in der Regel darauf, Inhalte zu präsentieren, die dieser audiovisuell aufnimmt. Für das Verständnis müssen die Studierenden die physikalischen Grundregeln und die Konzepte kennenlernen. Die gesamte Produktionskette und die einzelenen Aspekte müssen daher berücksichtigen und einbezogen werden, damit die Präsentation einerseits dem natürlichen Erleben nahe kommt und andererseits der technischer Aufwand auf das wesentliche beschränkt wird. Die Veranstaltung vermittelt hierzu die nötigen Grundkenntnisse.";grundlagen_der_gestaltung_von_medien2.jpg;5;EM2;Elektronische Medien 2;Pflichtfach;Elektronik;schriftliche Klausur;3;3;Wintersemester;\N;\N
16;"Die Studierenden lernen Gestaltungstheorien, Methoden, Vorgehensweisen und Tools kennen im Bereich Mediendesign kennen und wenden diese auf ein eignes Mini-Projekt im Rahmen des Seminares und Praktikum an.

 Im Praktikum werden praktische Fähigkeiten im Bereich Fotografie und Videoproduktion vermittelt, die in den Aufgaben und innerhalb des Mini-Projekt im Seminar angewandt werden können.

Damit werden multimediale Produktionsabläufe mit ökonomischen und projektbezogenen Rahmenbedingungen erlernt, sowie Methoden, Technologien und Werkzeuge zur multimedialen Gestaltung im Rahmen eines Projektes und dessen Planung.";platzhalter1.png;5;GGM2;Grundlagen der Gestaltung von Medien 2;Pflichtfach;Mediengestaltung;Abgabe;3;5;Wintersemester;\N;Michael M. Schuff
17;"Die Studierenden erkennen und reflektieren medienethische Konflikte in Theorie und Praxis und werden darauf vorbereitet Konfliktfälle in realen Situationen vor diesem Hintergrund einzuordnen und begründet zu bewerten unter Verwendung der grundlegenden Begriffe der Medienethik.

Im Seminar werden medienethische Themen und Theorien vermittelt und diese mit einer Hausarbeit erarbeitet. Darauf basierend erfolgt die Erstellung eines eigenen Projektes zu einer praktischen medienethischen Fragestellung.
Dies befähigt dazu bei medialen Produktionsabläufen mit ökonomischen und projektbezogenen Rahmenbedingungen, den medienethischem Hintergrund zu erkennen, zu bewerten und zu bearbeiten.";platzhalter2.png;5;MEG;Medienethik und Gesellschaft;Pflichtfach;Geisteswissenschaft;Abgabe;4;6;Sommersemester;\N;\N
18;"Die Studierenden agieren in heterogenen Teams, treffen gemeinsame Entscheidungen und entwickeln ein Verständnis für die Methoden und Denkweisen anderer Disziplinen. Sie sollen lernen, über die eigenen Fachgrenzen hinaus zielgerichtet zu kommunizieren und zu arbeiten. Mithilfe der unterschiedlichen Fachsprachen, Denkweisen und Methoden aller Disziplinen werden gemeinsame Projektideen entwickelt und Ergebnisse erzielt.

Die Ergebnisse des interdisziplinären Projektes werden schriftlich in einem Bericht zusammengefasst.";platzhalter3.png;2;IDP;Interdisziplinäres Projekt;Pflichtfach;Geisteswissenschaft;Abgabe;4;6;Sommersemester;\N;\N
19;"Anhand von Gesetzestexten und aktuellen Fallbeispielen aus der Praxis werden wesentliche Grundelemente aus dem Rechtsgebiet,  insbesondere aus dem Verfassungs-, Urheber- und Medienrechts dargestellt und diskutiert.

Die Studierenden sind anschliessend in der Lage Sachverhalte juristisch einordnen zu können sowie praxisorientierte Fragestellungen in den Schwerpunkten Urheber- und Medienrecht identifizieren und beantworten zu können. Die Studierenden sollen ein Gefühl dafür entwickeln, wenn ihnen in ihrer späteren Berufstätigkeit Sachverhalte begegnen, die rechtliche Konsequenzen haben können. Sie sollen zudem ein Bewusstsein für den Schutz geistiger, kreativer Leistung entwickeln. Im Folgenden sind die Lehrinhalte stichwortartig aufgeführt.";recht.jpg;3;REC;Medienrecht;Pflichtfach;Recht;schriftliche Klausur;4;9;Sommersemester;\N;\N
20;"Die Studierenden lernen grundlegende Algorithmen der Bildverarbeitung kennen. Sie können die programmtechnische Umsetzung dieser Algorithmen nachvollziehen und erläutern und können die visuellen Effekte bei Anwendung der Algorithmen auf Bilder beschreiben.

In der Vorlesung wird das Wissen zu den grundlegenden Algorithmen vermittelt. Im Praktikum wenden die Studierenden ausgewählte Algorithmen in Form von Quellcode auf Bilder an und beschreiben die beobachteten Effekte der Verarbeitung.

Für die Entwicklung von Mediensystemen ist es erforderlich, einen Baukasten an grundlegenden Algorithmen zu kennen, um daraus anwendungsspezifische Verarbeitungen zusammenzustellen. Die Entwicklung tiefergehender spezialisierter Verarbeitungsschritte setzt voraus, dass man die grundsätzliche programmtechnische Herangehensweise beim Zugriff auf Bilddaten und deren Verarbeitung kennt und diese anwenden kann. Für die Analyse von Mediensystemen sind die gleichen Kompetenzen erforderlich, um entsprechende Analysewerkzeuge zu entwickeln und anzuwenden. Dei Veranstaltung liefert dazu notwendige Voraussetzungen.";bildverarbeitung.jpg;5;BV1;Bildverarbeitung;Vertiefungsfach;Bildverarbeitung;mündliche Prüfung;4;\N;Sommersemester;Bildverarbeitung;\N
21;"Web-Technologien sind heute die Grundlage für alle technischen Kommunikationssysteme und bilden die Kommunikationsplattform für verteilte Systeme. Die Medienindustrie befindet sich im Wandel von klassischen Produktions- und Distributionstechnologien hin zu Internet-vernetzen Ökosystemen.
Entsprechende Kompetenzen und Wissen über die zugehörigen Grundlagen sind essentiell für die Erstellung, Bewertung und den Betrieb moderner Medienproduktionssysteme auf Basis web-basierter Technologien und Services.

Webbasierte Systeme können grob in ein Backend und Frontend unterteilt werden. Dieses Modul fokussiert auf das Backend und vermittelt Wissen zu Komponenten, Architekturmuster, Kommunikationsprotokollen und Standards sowie Kompetenzen zur Planung, Umsetzung und Evaluation von Web-basierten Backend-Systemen mit einem besonderen Fokus auf vernetzte/verteilte Mediensysteme. In diesem Kontext werden Aufgaben und Mechanismen der Komponenten und Protokolle, Wissen zur Architektur und zum Aufbau von Web-basierten Systemen sowie ein tieferes Verständnis der zugrundeliegenden Konzepte und Techniken vermittelt.";webengineering1.jpg;5;WEB1;Webengineering 1;Vertiefungsfach;Webengineering;schriftliche Klausur;4;\N;Sommersemester;Webengineering;Michael M. Schuff
22;"Das Modul vermittelt folgende Kenntnisse und Fertigkeiten:

Beschreiben von Methoden zum geometrischen Modellieren
Erklären von Transformationen
Beschreiben der grundlegenden Graphikhardware
Beschreiben der einzelnen Stufen der Rendering Pipeline
Erklären von globalen und lokalen Beleuchtungsmodellen
Beschreiben von Methoden zur Texturierung
Gegenüberstellen der behandelten Beleuchtungsmodelle
Entscheiden welches Verfahren geeignet ist, um eine konkrete Problemstellung der Computergrafik zu lösen
Entwicklen von Computergrafikanwendungen (Verwenden eines 3D-APIs, Erstellen interaktiver 3DProgramme, Anwenden der mathematischen Basis der Computergrafik, Anwenden der grundlegenden Algorithmen der Computergrafik, Testen und Debuggen von Anwendungen)
Die Kompetenzen werden zunächst über eine Vorlesung vermittelt und danach im Praktikum von den Studierenden vertieft. Die sichere Anwendung der Grundlagen der Computergrafik ist Voraussetzung für die Entwicklug interaktiver medientechnischer Systeme und erlaubt die Bewertung bestehender Systeme.

Im Praktikum werden an Hand eines aktuellen 3D APIs diese Kenntnisse in praxisnahen Szenarien vertieft und angewendet. Beispielsweise werden von den Studenten eigene Shaderprogramme für die Beleuchtung einer 3D Szene erstellt.";computergrafik.jpg;5;CG;Computergrafik;Vertiefungsfach;Interaktive Computergrafik;schriftliche Klausur;4;\N;Sommersemester;Interaktive Computergrafik;Michael M. Schuff
23;"Das Vertiefungsmodul ""Vertiefende Methoden und Theorien der Gestaltung"" beschäftigt sich mit der Theorie und Anwendung von medienspezifischen Gestaltungsprinzipien und User Experience Themen im Rahmen von digitalen Leitsystemen und Signaletik. Es richtet sich an Studierende, die eine Tätigkeit und Herausforderung im Bereich der Schnittstellen zu aktuellen User Experience Design Themen suchen (wie z.B. Smart Home, Info-Orientierungssystem, Navigationssysteme, etc.).

Die Studierenden lernen Designtheorien, Methoden, und multimediale Produktionsabläufe unter Berücksichtigung ökonomischer Aspekte. Sie wenden medienspezifische Gestaltungsprinzipien und User Experience Themen auf ein eigenes Projekt im Rahmen des Seminares an und lernen dabei die Erweiterung der sprachlichen Ausdrucks- und Analysefähigkeit für unterschiedliche Medien.

Designtheorie und Methoden werden in einem Seminar mit Aufgaben vermittelt und basierend auf dem Seminar führen die Studierenden in Gruppenarbeit ein eigenes Projekt zu einem Hauptthema durch, von der Analyse über die Konzeption und Skizzenerstellung bis hin zur praktischen Umsetzung und Prototyperstellung und abschließend die Präsentation mit theoretischer Ausarbeitung.";gestaltung.jpg;5;GM1;Vertiefende Methoden und Theorien der Gestaltung;Vertiefungsfach;Gestaltung von Medien;Abgabe;4;\N;Sommersemester;Gestaltung von Medien;Michael M. Schuff
24;"Die Studierenden lernen den Pixelaufbau verschiedener Bildsensorarchitekturen kennen und können elektrische und optische Funktionen und Kenngrößen verschiedener Bildsensortechnologien verstehen und erläutern.

 Durch Übungsaufgaben zur Berechnung des Sensortimings und der Rauscheigenschaften wird das theoretisch vermittelte Wissen vertieft. Im Praktikum wird  die Ansteuerung von Industriekameras betrachtet..

Um Bildsensoren einzusetzen und Bilder weiter zu verarbeiten müssen die Eigenschaften der Sensoren, insbesondere die Rauscheigenschaften, bekannt sein und entsprechende Rechnungen durchgeführt werden können.

Außerdem lernen die Stiderienden Korrekturmodelle für die Sensorik aus den Sensoreigenschaften abzuleiten und zu erklären. Mit Korrekturmodellen können aus Bildern mit Artefakten der Sensorik korrekte Bilder berechnet werden.";bildsenortechnik.jpg;5;KAT1;Bildsensortechnik;Vertiefungsfach;Kameratechnik;schriftliche Klausur;4;\N;Sommersemester;Kameratechnik;Michael M. Schuff
25;"Die Studierenden lernen grundlegende Prinzipien der elektronischen Bilderzeugung in Displays und deren Ansteuerung kennen. Sie werden in die Lage versetzt, die Bildqualität anhand von gemessenen Parametern zu beschreiben, zu beurteilen und zu optimieren. Insbesondere befähigt der Kurs, die  Farbeigenschaften von Displays unterschiedlicher Technologien zu modellieren und zu kalibrieren.

Durch die Erläuterung der physikalischen Grundlagen und Prinzipien der Bilderzeugung erlernen die Studierenden wesentliche Aspekte, die sie befähigen,
Displaysysteme zu verstehen, zu analysieren und in der Anwendung zu optimieren.

In der Vorlesung werden die theoretischen Grundlagen und Kenntnisse aus dem Bereich der Displaytechnik vermittelt und in der Übung rechnerisch auf relevante Fragestellungen angewendet. Im Praktikum werden die Eigenschaften verschiedener Displaytechnologien anhand von Messungen untersucht und gemäß ICC kalibriert. Ferner wird das Thema Farbmanagement in praxisnahen Szenarien vertieft und angewendet.";displaytechnik.jpg;5;DIS;Displaytechnik;Vertiefungsfach;Mediendistribution und -wiedergabe;schriftliche Klausur;4;\N;Sommersemester;Mediendistribution und -wiedergabe;Michael M. Schuff
26;"In der Vorlesung werden die grundlegenden Techniken und Komponenten
zur Tonaufnahme und Tonbearbeitung vorgestellt. Dabei wird die gesamte
Produktionskette von der Aufnahme bis zur Wiedergabe behandelt.

Die Studierenden werden in die Lage versetzt, unter Berücksichtigung von angemessenen technischen Standards die typischen Schritte einer Tonproduktion für unterschiedliche Zielstellungen / Anwendungen durchzuführen.
Die Studierenden können Audiotechnologien sowohl beschreiben als auch  einordnen und auf der Basis dieser Kenntnisse und Fähigkeiten Anforderungen für bestimmte Einsatzzwecke formulieren, sowie die für die Erfüllung dieser Anforderungen benötigten Systeme in ihren Grundzügen entwerfen.

Im Praktikum werden in kleinen Teams typische Aufgaben in der Tonproduktion durchgeführt. Dabei lernen die Studierenden die einzelnen Komponenten und
ihr Zusammenspiel praktisch kennen und können sich somit einen Systemüberblick
verschaffen. Hier werden zum Beispiel die Eigenschaften von Mikrofonen untersucht oder eine exemplarische Tonproduktion durchgeführt.";tonstudiotechnik.jpg;5;TST;Tonstudiottechnik;Vertiefungsfach;Produktionstechnik audiovisueller Medien;mündliche Prüfung;4;\N;Sommersemester;Produktionstechnik audiovisueller Medien;Michael M. Schuff
27;"In dem Modul werden folgende Inhalte vermittelt:

Grundlegende Unternehmens- und Personalstrukturen mit Bezug auf Unternehmensziele, Absatzmärkte, Beschaffung und Produktion.
Grundlegende Begriffe und Methoden zur Wirtschaftlichkeitsbetrachtung in Unternehmen und von Projekten unter Berücksichtigung steuerrechtlicher und finanzrechtlicher Vorgaben.
Grundlegende Managementaufgaben in Unternehmen
Aufgabenspektrum professioneller Managementwerkzeuge zur Unternehmenssteuerung";platzhalter1.png;5;BWR;Betriebswirtschaft und Recht;Pflichtfach;Recht;Abgaben;5;9;Wintersemester;\N;Michael M. Schuff
